model,224,256,320,384,512
mobilenet_v2_small,971392,1012384,1094368,1176352,1340320
resnet18,11291424,11307840,11340672,11373504,11439168
resnet34,21399584,21416000,21448832,21481664,21547328
simple_cnn,2675936,2684160,2700608,2717056,2749952
tiny_cnn,183904,188032,196288,204544,221056
vgg11,129684064,129815168,130077376,130339584,130864000
vgg13,129868576,129999680,130261888,130524096,131048512
